 @relation BaseImagens

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute x41 numeric
@attribute x42 numeric
@attribute x43 numeric
@attribute x44 numeric
@attribute x45 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute x48 numeric
@attribute x49 numeric
@attribute x50 numeric
@attribute x51 numeric
@attribute x52 numeric
@attribute x53 numeric
@attribute x54 numeric
@attribute x55 numeric
@attribute x56 numeric
@attribute x57 numeric
@attribute x58 numeric
@attribute x59 numeric
@attribute x60 numeric
@attribute x61 numeric
@attribute x62 numeric
@attribute x63 numeric
@attribute x64 numeric
@attribute x65 numeric
@attribute x66 numeric
@attribute x67 numeric
@attribute x68 numeric
@attribute x69 numeric
@attribute x70 numeric
@attribute x71 numeric
@attribute x72 numeric
@attribute x73 numeric
@attribute x74 numeric
@attribute x75 numeric
@attribute x76 numeric
@attribute x77 numeric
@attribute x78 numeric
@attribute x79 numeric
@attribute x80 numeric
@attribute x81 numeric
@attribute x82 numeric
@attribute x83 numeric
@attribute x84 numeric
@attribute x85 numeric
@attribute x86 numeric
@attribute x87 numeric
@attribute x88 numeric
@attribute x89 numeric
@attribute x90 numeric
@attribute x91 numeric
@attribute x92 numeric
@attribute x93 numeric
@attribute x94 numeric
@attribute x95 numeric
@attribute x96 numeric
@attribute x97 numeric
@attribute x98 numeric
@attribute x99 numeric
@attribute x100 numeric
@attribute x101 numeric
@attribute x102 numeric
@attribute x103 numeric
@attribute x104 numeric
@attribute x105 numeric
@attribute x106 numeric
@attribute x107 numeric
@attribute x108 numeric
@attribute x109 numeric
@attribute x110 numeric
@attribute x111 numeric
@attribute x112 numeric
@attribute x113 numeric
@attribute x114 numeric
@attribute x115 numeric
@attribute x116 numeric
@attribute x117 numeric
@attribute x118 numeric
@attribute x119 numeric
@attribute x120 numeric
@attribute x121 numeric
@attribute x122 numeric
@attribute x123 numeric
@attribute x124 numeric
@attribute x125 numeric
@attribute x126 numeric
@attribute x127 numeric
@attribute x128 numeric
@attribute x129 numeric
@attribute x130 numeric
@attribute x131 numeric
@attribute x132 numeric
@attribute x133 numeric
@attribute x134 numeric
@attribute x135 numeric
@attribute x136 numeric
@attribute x137 numeric
@attribute x138 numeric
@attribute x139 numeric
@attribute x140 numeric
@attribute x141 numeric
@attribute x142 numeric
@attribute x143 numeric
@attribute x144 numeric
@attribute x145 numeric
@attribute x146 numeric
@attribute x147 numeric
@attribute x148 numeric
@attribute x149 numeric
@attribute x150 numeric
@attribute x151 numeric
@attribute x152 numeric
@attribute x153 numeric
@attribute x154 numeric
@attribute x155 numeric
@attribute x156 numeric
@attribute x157 numeric
@attribute x158 numeric
@attribute x159 numeric
@attribute x160 numeric
@attribute x161 numeric
@attribute x162 numeric
@attribute x163 numeric
@attribute x164 numeric
@attribute x165 numeric
@attribute x166 numeric
@attribute x167 numeric
@attribute x168 numeric

Cisto_T1_1.jpg,cisto

@attribute class {Cisto,Lesao_Benigna,Lesao_Maligna,Sem_Lesao}
@data
 0.26255, 0.88180, 0.41794, 0.48467, 0.34644, 0.58203, 0.69876, 0.54982, 0.54589, 0.88738, 0.64791, 0.35765, 0.88061, 0.25736, 0.91539, 0.48247, 0.48468, 0.33954, 0.58170, 0.69275, 0.55609, 0.54783, 0.91942, 0.64883, 0.40454, 0.91608, 0.26770, 0.93228, 0.54893, 0.48469, 0.35680, 0.58132, 0.69910, 0.54104, 0.53497, 0.93371, 0.64195, 0.37788, 0.89291, 0.25701, 0.91824, 0.47391, 0.48470, 0.32959, 0.58094, 0.69193, 0.55553, 0.54580, 0.92321, 0.65775, 0.40665, 0.91633, 0.85728, 0.33790, 0.61752, 0.31996, 0.62302, 0.51860, 0.43980, 0.43172, 0.12284, 0.28035, 0.43147, 0.51005, 0.50815, 0.55297, 0.52474, 0.31300, 0.02646, 0.36761, 0.29149, 0.37993, 0.21344, 0.49605, 0.46199, 0.56326, 0.46925, 0.34877, 0.14261, 0.66193, 0.53033, 0.28213, 0.59431, 0.50438, 0.61120, 0.53944, 0.49832, 0.52303, 0.73237, 0.65159, 0.74500, 0.40971, 0.37092, 0.57264, 0.37085, 0.22439, 0.85304, 0.59644, 0.44815, 0.89016, 0.52303, 0.68680, 0.65178, 0.75898, 0.43504, 0.38821, 0.46608, 0.42835, 0.22007, 0.90366, 0.60810, 0.43514, 0.90123, 0.52304, 0.68601, 0.65173, 0.73895, 0.41287, 0.39074, 0.46893, 0.41443, 0.22634, 0.86523, 0.59251, 0.46157, 0.78582, 0.52304, 0.66963, 0.65173, 0.75940, 0.43857, 0.39445, 0.47786, 0.45280, 0.20678, 0.90443, 0.39003, 0.51762, 0.53757, 0.64504, 0.38199, 0.73232, 0.28052, 0.19772, 0.81240, 0.31929, 0.09488, 0.49088, 0.13110, 0.23145, 0.10902, 0.52654, 0.73237, 0.61291, 0.29144, 0.51135, 0.21438, 0.80755, 0.41885, 0.26755, 0.62983, 0.46912, 0.33464, 0.23112, 0.24470, 0.22997, 0.70474, 0.46022,Cisto
 0.18248, 0.66894, 0.46234, 0.38411, 0.24412, 0.48974, 0.52969, 0.74188, 0.73969, 0.67009, 0.79561, 0.69938, 0.99311, 0.18004, 0.75219, 0.47853, 0.38410, 0.21228, 0.48988, 0.52101, 0.74498, 0.74180, 0.74955, 0.81854, 0.74214, 0.99664, 0.18635, 0.73324, 0.56444, 0.38412, 0.23980, 0.48927, 0.52887, 0.73117, 0.72761, 0.73075, 0.80301, 0.75413, 0.99472, 0.18127, 0.75448, 0.47152, 0.38414, 0.20557, 0.48866, 0.52270, 0.74194, 0.73616, 0.75287, 0.82450, 0.75154, 0.99659, 0.67540, 0.46146, 0.51359, 0.03712, 0.68090, 0.45390, 0.70915, 0.20600, 0.30141, 0.54733, 0.17140, 0.17717, 0.45626, 0.68165, 0.32866, 0.23220, 0.38573, 0.79944, 0.53152, 0.42514, 0.21474, 0.47532, 0.16367, 0.63660, 0.15370, 0.38449, 0.08063, 0.83461, 0.23161, 0.08317, 0.31883, 0.61730, 0.45095, 0.65924, 0.31185, 0.64771, 0.59402, 0.67862, 0.70331, 0.53466, 0.48562, 0.67944, 0.52985, 0.40508, 0.94867, 0.42533, 0.56491, 0.61974, 0.64772, 0.54123, 0.67875, 0.70381, 0.56007, 0.50260, 0.56448, 0.59468, 0.41180, 0.97095, 0.44155, 0.52114, 0.69623, 0.64772, 0.53128, 0.67890, 0.70016, 0.53900, 0.50877, 0.53694, 0.58466, 0.40653, 0.95346, 0.42166, 0.57596, 0.54630, 0.64772, 0.51536, 0.67874, 0.70437, 0.56409, 0.51083, 0.57373, 0.62915, 0.40735, 0.97141, 0.42458, 0.46419, 0.89082, 0.51231, 0.30645, 0.72411, 0.27684, 0.30605, 0.45448, 0.33345, 0.45385, 0.72795, 0.10074, 0.34915, 0.31088, 0.63185, 0.49000, 0.33904, 0.49238, 0.40588, 0.44472, 0.73065, 0.40349, 0.41459, 0.62602, 0.69233, 0.92887, 0.00000, 0.60995, 0.27018, 0.65724, 0.57579,Cisto
 0.15691, 0.74939, 0.38981, 0.46609, 0.16423, 0.56159, 0.51651, 0.74917, 0.75036, 0.74732, 0.86291, 0.59625, 0.98425, 0.15603, 0.78729, 0.44706, 0.46609, 0.19716, 0.56160, 0.50905, 0.74642, 0.74288, 0.78357, 0.83019, 0.62198, 0.99094, 0.16338, 0.78065, 0.52961, 0.46610, 0.23502, 0.56140, 0.51609, 0.73091, 0.72608, 0.77764, 0.80121, 0.61848, 0.98593, 0.15743, 0.79237, 0.43638, 0.46610, 0.19250, 0.56119, 0.50864, 0.74266, 0.73610, 0.78970, 0.83327, 0.62881, 0.99079, 0.77604, 0.61899, 0.49483, 0.06192, 0.56954, 0.64022, 0.87920, 0.03875, 0.16485, 0.10776, 0.04732, 0.24388, 0.55196, 0.42607, 0.61367, 0.13856, 0.26690, 0.51908, 0.26532, 0.31659, 0.74264, 0.45808, 0.12353, 0.51389, 0.44129, 0.48456, 0.16372, 0.15274, 0.44221, 0.35816, 0.09249, 0.19976, 0.49456, 0.63128, 0.35450, 0.60883, 0.64180, 0.64432, 0.71129, 0.48463, 0.43475, 0.65837, 0.47498, 0.35140, 0.91557, 0.47551, 0.48630, 0.78649, 0.60883, 0.60661, 0.64451, 0.72717, 0.50332, 0.44454, 0.49542, 0.52048, 0.33267, 0.94462, 0.49128, 0.45047, 0.84452, 0.60884, 0.60847, 0.64435, 0.71526, 0.48323, 0.44863, 0.47644, 0.50137, 0.33153, 0.91730, 0.46939, 0.50698, 0.67922, 0.60883, 0.57971, 0.64457, 0.72569, 0.50806, 0.45354, 0.51374, 0.55639, 0.33258, 0.94628, 0.33918, 0.48514, 0.53390, 0.89570, 0.32866, 0.70642, 0.76758, 0.27595, 0.49673, 0.52568, 0.60139, 0.65047, 0.23096, 0.00000, 0.23279, 0.63634, 0.41985, 0.58114, 0.57402, 0.30688, 0.44573, 0.76371, 0.68637, 0.51551, 0.56179, 0.64496, 0.41934, 0.28111, 0.77010, 0.19133, 0.85762, 0.43185,Cisto
 0.26199, 0.79143, 0.35725, 0.60882, 0.38720, 0.69543, 0.51715, 0.58816, 0.58154, 0.79810, 0.62027, 0.35642, 0.87674, 0.25796, 0.85029, 0.40309, 0.60880, 0.37717, 0.69595, 0.50634, 0.59614, 0.58413, 0.85619, 0.61938, 0.39790, 0.91450, 0.26766, 0.86265, 0.48020, 0.60881, 0.39743, 0.69569, 0.51301, 0.58162, 0.57220, 0.86597, 0.60792, 0.37697, 0.89096, 0.25923, 0.85255, 0.39305, 0.60882, 0.36364, 0.69541, 0.50493, 0.59354, 0.58026, 0.85921, 0.63323, 0.39945, 0.91428, 0.88190, 0.59160, 0.65500, 0.16822, 0.54217, 0.55535, 0.67027, 0.36852, 0.22402, 0.03645, 0.56572, 0.25231, 0.54187, 0.53654, 0.61416, 0.39374, 0.41655, 0.30649, 0.34958, 0.44847, 0.51542, 0.72373, 0.37991, 0.55590, 0.83825, 0.24108, 0.40959, 0.20221, 0.71685, 0.27346, 0.19112, 0.23783, 0.55439, 0.55063, 0.38095, 0.48592, 0.67772, 0.58688, 0.62775, 0.45481, 0.41263, 0.57747, 0.43218, 0.35352, 0.91005, 0.53416, 0.46477, 0.69940, 0.48592, 0.61924, 0.58732, 0.63109, 0.48036, 0.43314, 0.47315, 0.50825, 0.36978, 0.94677, 0.55070, 0.44134, 0.73374, 0.48593, 0.61792, 0.58720, 0.62154, 0.45755, 0.43629, 0.46721, 0.49375, 0.36676, 0.92029, 0.52901, 0.48639, 0.60000, 0.48592, 0.59660, 0.58735, 0.62916, 0.48442, 0.44107, 0.49324, 0.53955, 0.36808, 0.94782, 0.32430, 0.38448, 0.61645, 0.79819, 0.16367, 0.69389, 0.56899, 0.04433, 0.42016, 0.45917, 0.29155, 0.76815, 0.09439, 0.26335, 0.10970, 0.97874, 0.22388, 0.41569, 0.32469, 0.50297, 0.13481, 0.52675, 0.31013, 0.51652, 0.44567, 0.65409, 0.42322, 0.30550, 0.16262, 0.92522, 0.34438, 0.87280,Cisto
 0.03078, 0.64324, 0.40231, 0.27580, 0.25957, 0.35708, 0.42118, 0.92203, 0.91399, 0.64510, 0.78032, 0.74343, 0.99912, 0.03785, 0.72172, 0.41883, 0.27580, 0.30675, 0.35718, 0.41144, 0.90606, 0.89033, 0.72384, 0.71970, 0.74148, 0.99954, 0.04049, 0.70259, 0.51395, 0.27581, 0.35897, 0.35698, 0.41934, 0.89653, 0.87974, 0.70438, 0.67635, 0.76688, 0.99931, 0.03872, 0.72997, 0.40575, 0.27582, 0.27228, 0.35678, 0.41206, 0.90465, 0.88824, 0.73193, 0.75349, 0.76118, 0.99960, 0.63647, 0.39354, 0.41059, 0.08355, 0.07777, 0.43018, 0.67413, 0.05909, 0.56656, 0.00453, 0.16476, 0.95066, 0.48631, 0.48074, 0.41694, 0.68636, 0.80396, 0.37955, 0.52593, 0.70082, 0.71261, 0.82898, 0.16234, 0.47132, 0.77280, 0.87229, 0.16685, 0.27218, 0.67707, 0.43948, 0.08104, 0.15082, 0.39101, 0.57811, 0.34585, 0.62941, 0.56286, 0.66835, 0.63029, 0.58947, 0.53741, 0.58762, 0.56373, 0.46746, 0.97310, 0.37371, 0.46025, 0.71892, 0.62941, 0.54564, 0.66871, 0.63893, 0.60855, 0.54606, 0.45629, 0.58769, 0.44576, 0.98447, 0.38605, 0.43183, 0.76399, 0.62941, 0.52666, 0.66868, 0.62940, 0.59089, 0.55489, 0.44618, 0.58536, 0.45074, 0.97382, 0.36755, 0.48854, 0.60417, 0.62941, 0.50477, 0.66867, 0.63540, 0.61609, 0.56012, 0.47997, 0.64369, 0.45652, 0.98570, 0.64974, 0.45106, 0.76571, 0.78649, 0.26090, 0.52882, 0.38101, 0.31718, 0.26070, 0.15983, 0.21400, 0.88317, 0.07736, 0.28934, 0.00000, 0.67757, 0.32433, 0.70000, 0.59830, 0.53372, 0.82389, 0.59531, 0.52488, 0.52067, 0.50981, 0.91902, 0.42505, 0.06762, 0.13226, 0.45885, 0.21946, 0.56843,Cisto
 0.44677, 0.43996, 0.57488, 0.79771, 0.54943, 0.85194, 0.40216, 0.50812, 0.51661, 0.44706, 0.50377, 0.39822, 0.54248, 0.44534, 0.45538, 0.61754, 0.79771, 0.58136, 0.85205, 0.39872, 0.50578, 0.51309, 0.46432, 0.47172, 0.41177, 0.61318, 0.45130, 0.52231, 0.62236, 0.79774, 0.59780, 0.85126, 0.39921, 0.49313, 0.50107, 0.52944, 0.44859, 0.40607, 0.55325, 0.44431, 0.46300, 0.60652, 0.79777, 0.54390, 0.85047, 0.39897, 0.50759, 0.51553, 0.47203, 0.51418, 0.42340, 0.62294, 0.89275, 0.51711, 0.64653, 0.15720, 1.00000, 0.49159, 0.58080, 0.66074, 0.26945, 0.73449, 0.33113, 0.36850, 0.52112, 0.85455, 0.42844, 0.03571, 0.59872, 0.53104, 0.87092, 0.05229, 0.69618, 0.75608, 0.48705, 1.00000, 0.28794, 0.43361, 0.16413, 0.65708, 0.55011, 0.34876, 0.22731, 0.27498, 0.63132, 0.53075, 0.39990, 0.38067, 0.70056, 0.54473, 0.61898, 0.40688, 0.37255, 0.55438, 0.43142, 0.37503, 0.88919, 0.61391, 0.47851, 0.65063, 0.38067, 0.66927, 0.54513, 0.61540, 0.43100, 0.38430, 0.49142, 0.47618, 0.38435, 0.92552, 0.63082, 0.48336, 0.62276, 0.38067, 0.66439, 0.54516, 0.60345, 0.40513, 0.38790, 0.51132, 0.46374, 0.38482, 0.89528, 0.60813, 0.51807, 0.51873, 0.38068, 0.63359, 0.54489, 0.60848, 0.43747, 0.39560, 0.52753, 0.52535, 0.39445, 0.92984, 0.20514, 0.58225, 0.65199, 0.59707, 0.23650, 0.63860, 0.34284, 0.13762, 0.30119, 0.18104, 0.19802, 0.34663, 0.18478, 0.28152, 0.05907, 0.42178, 0.40579, 0.20820, 0.47260, 0.31295, 0.32700, 0.41943, 0.02760, 0.39984, 0.35400, 0.39572, 0.61347, 0.20864, 0.23403, 0.10127, 0.36252, 0.30765,Cisto
 0.12257, 0.69218, 0.35173, 0.38265, 0.30908, 0.48358, 0.41380, 0.77847, 0.77106, 0.69541, 0.73250, 0.72636, 0.99630, 0.12552, 0.75640, 0.38547, 0.38264, 0.32016, 0.48402, 0.40337, 0.77393, 0.76113, 0.75859, 0.71387, 0.74546, 0.99806, 0.13004, 0.72787, 0.49230, 0.38267, 0.36745, 0.48305, 0.41259, 0.76024, 0.74825, 0.72962, 0.67458, 0.76309, 0.99696, 0.12611, 0.75206, 0.38304, 0.38270, 0.29432, 0.48207, 0.40546, 0.77282, 0.75940, 0.75441, 0.74180, 0.76183, 0.99815, 0.66316, 0.58637, 0.23658, 0.49816, 0.36386, 0.57975, 0.32658, 0.41565, 0.09283, 0.18851, 0.38048, 0.24629, 0.42919, 0.40734, 0.21032, 0.62151, 0.28275, 0.13396, 0.36862, 0.45058, 0.33835, 0.33574, 0.29048, 0.25094, 0.52877, 0.47330, 0.00662, 0.77906, 0.34806, 0.18978, 0.17330, 0.12792, 0.53215, 0.60133, 0.36614, 0.56881, 0.67939, 0.61104, 0.68277, 0.45488, 0.40502, 0.63271, 0.42812, 0.31774, 0.89332, 0.51292, 0.47800, 0.75998, 0.56881, 0.64951, 0.61143, 0.69422, 0.47423, 0.41613, 0.49455, 0.46595, 0.30937, 0.92873, 0.52784, 0.42979, 0.84520, 0.56880, 0.65180, 0.61166, 0.68586, 0.45359, 0.41849, 0.46124, 0.44806, 0.30087, 0.89595, 0.50861, 0.50246, 0.64874, 0.56880, 0.62269, 0.61176, 0.69194, 0.48010, 0.42566, 0.51646, 0.50410, 0.30674, 0.93141, 0.34357, 0.39857, 0.61788, 0.71477, 0.33145, 0.63233, 0.59878, 0.42377, 0.21822, 0.62638, 0.35453, 0.85272, 0.06615, 0.24223, 0.11360, 0.64464, 0.37357, 0.24654, 0.63276, 0.44039, 0.50596, 0.55729, 0.53206, 0.64759, 0.37064, 0.64394, 0.22361, 0.40971, 0.45002, 0.21582, 0.42067, 0.41476,Cisto
 0.28756, 0.44068, 0.67708, 0.57375, 0.52239, 0.65750, 0.61390, 0.64840, 0.65149, 0.44714, 0.53674, 0.39776, 0.73047, 0.28974, 0.46606, 0.70792, 0.57375, 0.54325, 0.65729, 0.61404, 0.64481, 0.64482, 0.47399, 0.51336, 0.40962, 0.79006, 0.29273, 0.51334, 0.72371, 0.57376, 0.57603, 0.65722, 0.61382, 0.63459, 0.63380, 0.51978, 0.47695, 0.40330, 0.74379, 0.29104, 0.46031, 0.70803, 0.57376, 0.52910, 0.65715, 0.61508, 0.64163, 0.63999, 0.46876, 0.53153, 0.41248, 0.78976, 0.86751, 0.39910, 0.33455, 0.48811, 0.60148, 0.53956, 0.30373, 0.27437, 0.31192, 0.46993, 0.29831, 0.29605, 0.79975, 0.58503, 0.39053, 0.35770, 0.20002, 0.33869, 0.43602, 0.15908, 0.03413, 0.76484, 0.91569, 0.36278, 0.60169, 0.24613, 0.81864, 0.28402, 0.70899, 0.23797, 0.76660, 0.31232, 0.65240, 0.59779, 0.37010, 0.39668, 0.70305, 0.57812, 0.68210, 0.38628, 0.35266, 0.62601, 0.42289, 0.31145, 0.85514, 0.63574, 0.52984, 0.64909, 0.39667, 0.67335, 0.57851, 0.68049, 0.41135, 0.36196, 0.54592, 0.46160, 0.31151, 0.89682, 0.65400, 0.50572, 0.68536, 0.39668, 0.68050, 0.57838, 0.67262, 0.38252, 0.36113, 0.53573, 0.43410, 0.29700, 0.85485, 0.63001, 0.55096, 0.55429, 0.39668, 0.64953, 0.57832, 0.67839, 0.41726, 0.37015, 0.56468, 0.49699, 0.30715, 0.89980, 0.23625, 0.46020, 0.69951, 0.30335, 0.03754, 0.53656, 0.22777, 0.14061, 0.23401, 0.15933, 0.67453, 0.74682, 0.07566, 0.14882, 0.30282, 0.94540, 0.14861, 0.25396, 0.26303, 0.78011, 0.02336, 0.34497, 0.34972, 0.39043, 0.77299, 0.62822, 0.06795, 0.28195, 0.73383, 0.71939, 0.26451, 0.70500,Cisto
 0.39558, 0.41370, 0.62705, 0.76532, 0.52164, 0.81881, 0.45126, 0.54110, 0.55021, 0.41976, 0.52713, 0.39411, 0.59652, 0.39189, 0.43969, 0.65707, 0.76533, 0.52529, 0.81875, 0.44924, 0.54102, 0.55055, 0.44656, 0.52309, 0.41514, 0.67301, 0.39991, 0.50610, 0.66029, 0.76536, 0.54215, 0.81790, 0.44922, 0.52806, 0.53771, 0.51161, 0.50030, 0.40940, 0.61462, 0.39176, 0.43060, 0.66017, 0.76539, 0.50812, 0.81706, 0.45060, 0.54198, 0.55003, 0.43779, 0.54704, 0.42192, 0.67747, 0.87678, 0.55339, 0.42249, 0.48063, 0.60681, 0.55410, 0.33651, 0.43897, 0.12638, 0.65970, 0.46930, 0.49338, 0.59757, 0.73311, 0.35582, 0.60729, 0.11554, 0.13007, 0.10710, 0.22602, 0.78422, 0.59083, 0.84373, 0.53127, 0.54384, 0.50748, 0.01359, 0.97410, 0.29269, 0.24479, 0.43808, 0.57739, 0.62571, 0.60323, 0.37220, 0.43704, 0.67687, 0.60121, 0.69188, 0.41457, 0.37795, 0.62680, 0.45828, 0.33458, 0.88243, 0.60168, 0.57959, 0.56042, 0.43705, 0.62276, 0.60141, 0.67965, 0.44667, 0.39473, 0.58740, 0.53013, 0.36131, 0.92463, 0.61701, 0.57820, 0.55171, 0.43704, 0.61685, 0.60181, 0.67227, 0.42201, 0.39905, 0.59926, 0.51812, 0.35792, 0.89392, 0.59495, 0.60242, 0.47106, 0.43704, 0.59628, 0.60170, 0.67727, 0.45372, 0.40399, 0.60800, 0.56769, 0.36138, 0.92737, 0.19554, 0.51730, 0.37340, 0.70103, 0.22248, 0.54857, 0.61194, 0.15847, 0.14124, 0.49118, 0.30622, 0.60845, 0.48109, 0.32312, 0.14672, 0.61273, 0.35273, 0.34785, 0.76838, 0.53031, 0.55100, 0.33891, 0.11663, 0.54970, 0.39416, 0.59704, 0.01084, 0.17987, 0.19891, 0.30047, 0.41924, 0.33551,Cisto
 0.40177, 0.42362, 0.53754, 0.79899, 0.48791, 0.84377, 0.32550, 0.55412, 0.57194, 0.42864, 0.54698, 0.40797, 0.60486, 0.39794, 0.48397, 0.53901, 0.79898, 0.48980, 0.84391, 0.31909, 0.55529, 0.57337, 0.48993, 0.54833, 0.42829, 0.68428, 0.40524, 0.53730, 0.55860, 0.79899, 0.51064, 0.84379, 0.32053, 0.54384, 0.56042, 0.54182, 0.51856, 0.42637, 0.62611, 0.39922, 0.48226, 0.53425, 0.79899, 0.47092, 0.84368, 0.31860, 0.55405, 0.57053, 0.48869, 0.57292, 0.43455, 0.68655, 0.93037, 0.85300, 0.61554, 0.39705, 0.41669, 0.53396, 0.68207, 0.47292, 0.14629, 0.05914, 0.20657, 0.41143, 0.43123, 0.40002, 0.48724, 0.75093, 0.17784, 0.16153, 0.20817, 0.47066, 0.44487, 0.66753, 0.59630, 0.51791, 0.82765, 0.84912, 0.10635, 0.60472, 0.10201, 0.39027, 0.33938, 0.45030, 0.64047, 0.70653, 0.25303, 0.44742, 0.70348, 0.61094, 0.70353, 0.39108, 0.35367, 0.74231, 0.41246, 0.28815, 0.84308, 0.61464, 0.65357, 0.44854, 0.44742, 0.63509, 0.61124, 0.68954, 0.42311, 0.37534, 0.66742, 0.49652, 0.33563, 0.90030, 0.63006, 0.63191, 0.48246, 0.44742, 0.63141, 0.61128, 0.68952, 0.39873, 0.37850, 0.65582, 0.48403, 0.32482, 0.86281, 0.60887, 0.66733, 0.38637, 0.44741, 0.60652, 0.61157, 0.68922, 0.42881, 0.38484, 0.67825, 0.53718, 0.33477, 0.90428, 0.01438, 0.50502, 0.28347, 0.57498, 0.38348, 0.61978, 0.78126, 0.39135, 0.35076, 0.77189, 0.77570, 0.75149, 0.29282, 0.31411, 0.26431, 0.61746, 0.18099, 0.20316, 0.72988, 0.49135, 0.76696, 0.42948, 0.60186, 0.77088, 0.41354, 0.83297, 0.36385, 0.38512, 0.80173, 0.38961, 0.31658, 0.60461,Cisto
